City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,Shkoder,AL,43.92,overcast clouds,42.0683,19.5126,Hotel Tradita
516,Malu Mare,RO,40.26,clear sky,44.2333,23.8667,Camera de la Bunici
517,Jining,CN,43.0,overcast clouds,35.405,116.5814,Yunhe Star Hotel
521,North Bend,US,42.71,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
527,Novopokrovka,UA,26.29,clear sky,49.8425,36.5477,Пудж дом
528,Morristown,US,41.83,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
530,Ginda,IN,40.46,clear sky,30.6945,78.4932,Sunil Bisht
534,Hecun,CN,30.34,overcast clouds,36.5333,114.1111,Yijia Hotel
537,Monor,HU,40.01,clear sky,47.3513,19.4473,Nyerges Hotel Termál Superior
541,Stege,DK,40.05,overcast clouds,54.987,12.2846,Hotel Præstekilde - Møn Golf Resort
560,Gucheng,CN,36.64,few clouds,35.9115,111.3192,古城宾馆
566,Kajaani,FI,30.25,light snow,64.2273,27.7285,Original Sokos Hotel Valjus
567,Caohai,CN,31.82,scattered clouds,26.8661,104.2841,Jinhua Hotel
573,Mackenzie,CA,26.82,clear sky,55.2999,-123.1698,Hilton Shop
582,Shepsi,RU,39.51,overcast clouds,44.0361,39.1489,Otel' Chayka
584,Wladyslawowo,PL,36.95,overcast clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
593,Westport,US,33.26,snow,41.1415,-73.3579,The Westport Inn
594,Scharnstein,AT,36.45,clear sky,47.9044,13.9601,Pfingstmann Franz u Manuela
595,Halifax,CA,33.8,overcast clouds,44.6453,-63.5724,Hotel Halifax
600,Dawlatabad,AF,42.4,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
601,Shimoda,JP,37.11,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
616,Freeport,US,34.25,snow,40.6576,-73.5832,The Freeport Inn and Marina
622,Sheltozero,RU,30.0,light snow,61.3667,35.3667,The village of Vanino
623,Wasilla,US,29.95,mist,61.5814,-149.4394,Alaska's Select Inn Wasilla
634,Polczyn-Zdroj,PL,39.9,broken clouds,53.7642,16.0957,Sanatorium Marta
638,Narva-Joesuu,EE,32.22,light snow,59.4589,28.0408,Narva-Jõesuu SPA & Sanatoorium
650,Josanicka Banja,RS,36.7,overcast clouds,43.3895,20.7503,Apartmani Radoičić
675,Quesnel,CA,34.3,overcast clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
676,Vestmanna,FO,32.92,overcast clouds,62.1564,-7.1664,Vestmanna Camping
678,Ketchikan,US,42.78,light rain,55.3422,-131.6461,Snow's Cove Lodge
