City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kendari,ID,-3.945,122.4989,74.23,94,100,4.7,overcast clouds
80,Mantua,IT,45.1667,10.7833,44.1,65,7,1.99,clear sky
81,Svetlogorsk,BY,52.6333,29.7333,28.49,79,61,10.58,broken clouds
82,Mabaruma,GY,8.2,-59.7833,80.6,83,75,13.8,broken clouds
83,San Patricio,US,28.017,-97.5169,61.18,22,0,6.93,clear sky
84,Kalabo,ZM,-14.97,22.6814,71.73,74,76,2.37,broken clouds
85,Abu Samrah,SY,35.3029,37.1841,52.14,50,0,4.72,clear sky
86,Porto Novo,BJ,6.4965,2.6036,84.02,72,13,9.01,few clouds
87,Coos Bay,US,43.3665,-124.2179,42.78,87,40,3.44,mist
88,Provideniya,RU,64.3833,-173.3,-14.12,95,19,3.38,few clouds
89,Frontignan,FR,43.4485,3.754,55.99,95,96,25.99,overcast clouds
90,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,8.05,broken clouds
91,Ouesso,CG,1.6136,16.0517,79.84,28,100,1.14,overcast clouds
92,Grootfontein,NA,-19.5667,18.1167,67.91,80,69,6.76,light rain
93,Great Falls,US,47.5002,-111.3008,51.19,29,0,6.91,clear sky
94,Itoman,JP,26.1247,127.6694,66.22,88,100,14.97,light rain
95,Roald,NO,62.5833,6.1333,43.16,87,75,11.5,broken clouds
96,Cockburn Town,TC,21.4612,-71.1419,82.36,61,40,18.41,scattered clouds
97,Sembakung,ID,3.8167,117.25,76.93,99,90,2.01,overcast clouds
98,Ribeira Grande,PT,38.5167,-28.7,63.0,59,75,6.91,broken clouds
99,Kuytun,RU,54.3419,101.5036,-26.7,100,100,2.91,overcast clouds
100,Carnarvon,AU,-24.8667,113.6333,78.87,83,4,8.05,clear sky
101,Matay,EG,28.419,30.7792,59.49,53,3,14.03,clear sky
102,Kavieng,PG,-2.5744,150.7967,80.76,77,96,5.91,overcast clouds
103,Jamestown,US,42.097,-79.2353,22.64,31,100,9.22,overcast clouds
104,Yar-Sale,RU,66.8333,70.8333,-9.9,93,100,8.95,overcast clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,40,13.8,scattered clouds
106,Tasiilaq,GL,65.6145,-37.6368,10.56,71,100,9.01,overcast clouds
107,Salinopolis,BR,-0.6136,-47.3561,79.45,84,100,7.2,light rain
108,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,100,7.0,overcast clouds
109,Barmer,IN,25.75,71.3833,65.37,22,0,5.88,clear sky
110,Coutances,FR,49.05,-1.4333,49.86,91,100,27.42,light rain
111,Khakhea,BW,-24.6895,23.494,78.44,33,6,5.21,clear sky
112,Vanavara,RU,60.34,102.2797,-23.15,99,24,4.23,few clouds
113,Rosarito,MX,32.3333,-117.0333,85.41,23,5,1.1,clear sky
114,Dolores,AR,-36.3132,-57.6792,80.78,20,8,16.13,clear sky
115,East London,ZA,-33.0153,27.9116,72.54,94,75,8.05,broken clouds
116,Saldanha,ZA,-33.0117,17.9442,71.65,89,0,20.76,clear sky
117,Campbellsville,US,37.3434,-85.3419,34.72,35,0,1.01,clear sky
118,Baykit,RU,61.67,96.37,-15.36,100,97,3.6,overcast clouds
119,Khromtau,KZ,50.2503,58.4347,19.62,88,96,16.53,overcast clouds
120,Ola,RU,59.5833,151.2833,-9.65,79,21,9.8,few clouds
121,Yongan,CN,39.6957,113.6871,2.73,93,91,3.06,overcast clouds
122,Pangody,RU,65.85,74.4859,-13.97,95,82,8.99,broken clouds
123,Shakhtinsk,KZ,49.71,72.5872,25.36,96,100,9.86,overcast clouds
124,Flinders,AU,-34.5833,150.8552,67.37,81,100,5.01,overcast clouds
125,Katangli,RU,51.7102,143.2326,-11.88,98,21,6.76,few clouds
126,Bibiani,GH,6.4635,-2.3194,74.28,88,61,1.41,moderate rain
127,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,40,10.36,light rain
128,Opuwo,NA,-18.0607,13.84,70.92,81,100,14.85,moderate rain
129,Kahului,US,20.8947,-156.47,74.46,83,20,5.75,few clouds
130,Avarua,CK,-21.2078,-159.775,77.05,94,100,1.14,overcast clouds
131,Paray-Le-Monial,FR,46.4546,4.1158,49.95,61,0,19.57,clear sky
132,Kavaratti,IN,10.5669,72.642,80.76,72,37,6.62,scattered clouds
133,Yumen,CN,40.2833,97.2,28.35,40,100,13.31,overcast clouds
